Título,Descrição do chamado,Última ação de acompanhamento,Título da ultima ação padrão
Erro no sistema de login,Cliente João relatou que não consegue acessar o portal desde ontem,Ana entrou em contato com o cliente e pediu mais detalhes,Aguardando retorno do cliente
Lentidão no servidor,Maria abriu chamado informando lentidão extrema no ERP,Carlos verificou os logs e identificou sobrecarga no banco,Análise técnica em andamento
Falha no relatório financeiro,Pedro não consegue exportar o relatório em PDF,Fernanda tentou reproduzir o erro mas não conseguiu,Aguardando mais informações
Acesso negado ao módulo RH,Lucas está sem permissão para acessar o módulo de férias,Roberto escalou para o time de infraestrutura,Escalado para outro time
Impressora não reconhecida,Beatriz relatou que a impressora da sala 3 parou de funcionar,Técnico Rafael foi até o local e reiniciou o spooler,Resolvido presencialmente
Erro ao salvar cadastro,Thiago tenta salvar um novo fornecedor mas recebe mensagem de erro,Juliana pediu ao cliente que enviasse print do erro,Aguardando evidência do cliente
Sistema fora do ar,Toda a equipe do setor financeiro sem acesso — Gabriela abriu o chamado,Diego acionou o time de DevOps às 14h,Incidente crítico em andamento
Dúvida sobre nota fiscal,Camila tem dúvida sobre como emitir nota fiscal pelo sistema,Mariana enviou o manual por e-mail para a cliente,Resolvido via documentação
Falha na integração ERP,Bruno percebeu que os pedidos não estão sincronizando com o estoque,Rodrigo identificou falha na API de integração,Correção agendada para manutenção
Tela em branco ao abrir módulo,Patrícia relata tela branca ao abrir o módulo de compras,Felipe solicitou que a cliente limpasse o cache do navegador,Aguardando retorno do cliente
